Name,Age,Nationality,Position,Team,Game Position,Star Rating,"Helper Cells
IGNORE",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Stopping,Claiming,Distribution,Shooting,Dribbling,Passing,Defence,Unnamed: 21,Stopping.1,Claiming.1,Distribution.1,Shooting.1,Dribbling.1,Passing.1,Defence.1,Unnamed: 29,Stopping.2,Claiming.2,Distribution.2,Shooting.2,Dribbling.2,Passing.2,Defence.2,Unnamed: 37,Stopping.3,Claiming.3,Distribution.3,Shooting.3,Dribbling.3,Passing.3,Defence.3,Unnamed: 45,Stopping.4,Claiming.4,Distribution.4,Shooting.4,Dribbling.4,Passing.4,Defence.4,Photos,Unnamed: 54,OPTA ID,Team Badge,"Concatenate Name with "".png""","double checking if name match with image name (1 = yes, 0 = no)",MetadataCommon,MetadataUncommon,MetadataRare,MetadataUltra Rare,MetadataLegendary,ImageCommon,ImageUncommon,ImageRare,ImageUltra Rare,ImageLegendary
Adama Boiro Boiro,22,Spain,Left-Back,ATHLETIC CLUB,Defence,1,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.0,1.4,1.4,1.5,,1.0,1.0,1.0,1.1,1.5,1.5,1.6,,1.0,1.0,1.0,1.25,1.65,1.65,1.75,,1.0,1.0,1.0,1.45,1.85,1.85,1.95,,1.0,1.0,1.0,1.7,2.1,2.1,2.2,Adama Boiro Boiro.png,,5ayo0fp6wod7cqg71e38zdz4k,Athletic Bilbao.png,Adama Boiro Boiro.png,1,https://players.gameon.app/laliga/season/metadata/Adama Boiro Boiro/Adama Boiro Boiro_Common_0.json,https://players.gameon.app/laliga/season/metadata/Adama Boiro Boiro/Adama Boiro Boiro_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Adama Boiro Boiro/Adama Boiro Boiro_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Adama Boiro Boiro/Adama Boiro Boiro_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Adama Boiro Boiro/Adama Boiro Boiro_Legendary_0.json,https://players.gameon.app/laliga/season/images/Adama Boiro Boiro/Adama Boiro Boiro_Common_0.png,https://players.gameon.app/laliga/season/images/Adama Boiro Boiro/Adama Boiro Boiro_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Adama Boiro Boiro/Adama Boiro Boiro_Rare_0.png,https://players.gameon.app/laliga/season/images/Adama Boiro Boiro/Adama Boiro Boiro_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Adama Boiro Boiro/Adama Boiro Boiro_Legendary_0.png
Aitor Paredes Casamichana,24,Spain,Centre-Back,ATHLETIC CLUB,Defence,4,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.15,1.55,1.55,1.65,,1.0,1.0,1.0,1.25,1.65,1.65,1.75,,1.0,1.0,1.0,1.4,1.8,1.8,1.9,,1.0,1.0,1.0,1.6,2.0,2.0,2.1,,1.0,1.0,1.0,1.85,2.25,2.25,2.35,Aitor Paredes Casamichana.png,,5kd57453a90zahgdxwkghr816,Athletic Bilbao.png,Aitor Paredes Casamichana.png,1,https://players.gameon.app/laliga/season/metadata/Aitor Paredes Casamichana/Aitor Paredes Casamichana_Common_0.json,https://players.gameon.app/laliga/season/metadata/Aitor Paredes Casamichana/Aitor Paredes Casamichana_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Aitor Paredes Casamichana/Aitor Paredes Casamichana_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Aitor Paredes Casamichana/Aitor Paredes Casamichana_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Aitor Paredes Casamichana/Aitor Paredes Casamichana_Legendary_0.json,https://players.gameon.app/laliga/season/images/Aitor Paredes Casamichana/Aitor Paredes Casamichana_Common_0.png,https://players.gameon.app/laliga/season/images/Aitor Paredes Casamichana/Aitor Paredes Casamichana_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Aitor Paredes Casamichana/Aitor Paredes Casamichana_Rare_0.png,https://players.gameon.app/laliga/season/images/Aitor Paredes Casamichana/Aitor Paredes Casamichana_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Aitor Paredes Casamichana/Aitor Paredes Casamichana_Legendary_0.png
Alejandro Berenguer Remiro,29,Spain,Left Winger,ATHLETIC CLUB,Offence,3,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.6,1.4,1.35,1.1,,1.0,1.0,1.0,1.7,1.5,1.45,1.2,,1.0,1.0,1.0,1.85,1.65,1.6,1.35,,1.0,1.0,1.0,2.05,1.85,1.8,1.55,,1.0,1.0,1.0,2.3,2.1,2.05,1.8,Alejandro Berenguer Remiro.png,,do5tibysnhbnbw18nwdo39kut,Athletic Bilbao.png,Alejandro Berenguer Remiro.png,1,https://players.gameon.app/laliga/season/metadata/Alejandro Berenguer Remiro/Alejandro Berenguer Remiro_Common_0.json,https://players.gameon.app/laliga/season/metadata/Alejandro Berenguer Remiro/Alejandro Berenguer Remiro_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Alejandro Berenguer Remiro/Alejandro Berenguer Remiro_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Alejandro Berenguer Remiro/Alejandro Berenguer Remiro_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Alejandro Berenguer Remiro/Alejandro Berenguer Remiro_Legendary_0.json,https://players.gameon.app/laliga/season/images/Alejandro Berenguer Remiro/Alejandro Berenguer Remiro_Common_0.png,https://players.gameon.app/laliga/season/images/Alejandro Berenguer Remiro/Alejandro Berenguer Remiro_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Alejandro Berenguer Remiro/Alejandro Berenguer Remiro_Rare_0.png,https://players.gameon.app/laliga/season/images/Alejandro Berenguer Remiro/Alejandro Berenguer Remiro_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Alejandro Berenguer Remiro/Alejandro Berenguer Remiro_Legendary_0.png
Alejandro Padilla Perez,21,Mexico,Goalkeeper,ATHLETIC CLUB,GK,1,1.75,1.5,2.5,,,,,1.75,1.5,2.5,1.0,1.0,1.0,1.0,,1.85,1.6,2.6,1.0,1.0,1.0,1.0,,1.95,1.7,2.7,1.0,1.0,1.0,1.0,,2.1,1.85,2.85,1.0,1.0,1.0,1.0,,2.3,2.05,3.05,1.0,1.0,1.0,1.0,Alejandro Padilla Perez.png,,b9q69u0q11bjpu0393sdy50,Athletic Bilbao.png,Alejandro Padilla Perez.png,1,https://players.gameon.app/laliga/season/metadata/Alejandro Padilla Perez/Alejandro Padilla Perez_Common_0.json,https://players.gameon.app/laliga/season/metadata/Alejandro Padilla Perez/Alejandro Padilla Perez_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Alejandro Padilla Perez/Alejandro Padilla Perez_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Alejandro Padilla Perez/Alejandro Padilla Perez_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Alejandro Padilla Perez/Alejandro Padilla Perez_Legendary_0.json,https://players.gameon.app/laliga/season/images/Alejandro Padilla Perez/Alejandro Padilla Perez_Common_0.png,https://players.gameon.app/laliga/season/images/Alejandro Padilla Perez/Alejandro Padilla Perez_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Alejandro Padilla Perez/Alejandro Padilla Perez_Rare_0.png,https://players.gameon.app/laliga/season/images/Alejandro Padilla Perez/Alejandro Padilla Perez_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Alejandro Padilla Perez/Alejandro Padilla Perez_Legendary_0.png
Alvaro Djalo Dias Fernandes,25,Spain,Left Winger,ATHLETIC CLUB,Offence,4,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.65,1.45,1.4,1.15,,1.0,1.0,1.0,1.75,1.55,1.5,1.25,,1.0,1.0,1.0,1.9,1.7,1.65,1.4,,1.0,1.0,1.0,2.1,1.9,1.85,1.6,,1.0,1.0,1.0,2.35,2.15,2.1,1.85,Alvaro Djalo Dias Fernandes.png,,23d0t7gqlra3jkskn18bh752i,Athletic Bilbao.png,Alvaro Djalo Dias Fernandes.png,1,https://players.gameon.app/laliga/season/metadata/Alvaro Djalo Dias Fernandes/Alvaro Djalo Dias Fernandes_Common_0.json,https://players.gameon.app/laliga/season/metadata/Alvaro Djalo Dias Fernandes/Alvaro Djalo Dias Fernandes_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Alvaro Djalo Dias Fernandes/Alvaro Djalo Dias Fernandes_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Alvaro Djalo Dias Fernandes/Alvaro Djalo Dias Fernandes_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Alvaro Djalo Dias Fernandes/Alvaro Djalo Dias Fernandes_Legendary_0.json,https://players.gameon.app/laliga/season/images/Alvaro Djalo Dias Fernandes/Alvaro Djalo Dias Fernandes_Common_0.png,https://players.gameon.app/laliga/season/images/Alvaro Djalo Dias Fernandes/Alvaro Djalo Dias Fernandes_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Alvaro Djalo Dias Fernandes/Alvaro Djalo Dias Fernandes_Rare_0.png,https://players.gameon.app/laliga/season/images/Alvaro Djalo Dias Fernandes/Alvaro Djalo Dias Fernandes_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Alvaro Djalo Dias Fernandes/Alvaro Djalo Dias Fernandes_Legendary_0.png
Ander Herrera Aguera,35,Spain,Central Midfield,ATHLETIC CLUB,Midfield,3,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.35,1.6,1.6,1.35,,1.0,1.0,1.0,1.45,1.7,1.7,1.45,,1.0,1.0,1.0,1.6,1.85,1.85,1.6,,1.0,1.0,1.0,1.8,2.05,2.05,1.8,,1.0,1.0,1.0,2.05,2.3,2.3,2.05,Ander Herrera Aguera.png,,e40eqhxzzid2chfyxph37tuxh,Athletic Bilbao.png,Ander Herrera Aguera.png,1,https://players.gameon.app/laliga/season/metadata/Ander Herrera Aguera/Ander Herrera Aguera_Common_0.json,https://players.gameon.app/laliga/season/metadata/Ander Herrera Aguera/Ander Herrera Aguera_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Ander Herrera Aguera/Ander Herrera Aguera_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Ander Herrera Aguera/Ander Herrera Aguera_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Ander Herrera Aguera/Ander Herrera Aguera_Legendary_0.json,https://players.gameon.app/laliga/season/images/Ander Herrera Aguera/Ander Herrera Aguera_Common_0.png,https://players.gameon.app/laliga/season/images/Ander Herrera Aguera/Ander Herrera Aguera_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Ander Herrera Aguera/Ander Herrera Aguera_Rare_0.png,https://players.gameon.app/laliga/season/images/Ander Herrera Aguera/Ander Herrera Aguera_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Ander Herrera Aguera/Ander Herrera Aguera_Legendary_0.png
Andoni Gorosabel Espinosa,28,Spain,Right-Back,ATHLETIC CLUB,Defence,3,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.1,1.5,1.5,1.6,,1.0,1.0,1.0,1.2,1.6,1.6,1.7,,1.0,1.0,1.0,1.35,1.75,1.75,1.85,,1.0,1.0,1.0,1.55,1.95,1.95,2.05,,1.0,1.0,1.0,1.8,2.2,2.2,2.3,Andoni Gorosabel Espinosa.png,,b91n9sdabth8oocdawayybdud,Athletic Bilbao.png,Andoni Gorosabel Espinosa.png,1,https://players.gameon.app/laliga/season/metadata/Andoni Gorosabel Espinosa/Andoni Gorosabel Espinosa_Common_0.json,https://players.gameon.app/laliga/season/metadata/Andoni Gorosabel Espinosa/Andoni Gorosabel Espinosa_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Andoni Gorosabel Espinosa/Andoni Gorosabel Espinosa_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Andoni Gorosabel Espinosa/Andoni Gorosabel Espinosa_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Andoni Gorosabel Espinosa/Andoni Gorosabel Espinosa_Legendary_0.json,https://players.gameon.app/laliga/season/images/Andoni Gorosabel Espinosa/Andoni Gorosabel Espinosa_Common_0.png,https://players.gameon.app/laliga/season/images/Andoni Gorosabel Espinosa/Andoni Gorosabel Espinosa_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Andoni Gorosabel Espinosa/Andoni Gorosabel Espinosa_Rare_0.png,https://players.gameon.app/laliga/season/images/Andoni Gorosabel Espinosa/Andoni Gorosabel Espinosa_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Andoni Gorosabel Espinosa/Andoni Gorosabel Espinosa_Legendary_0.png
Daniel Vivian Moreno,25,Spain,Centre-Back,ATHLETIC CLUB,Defence,4,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.15,1.55,1.55,1.65,,1.0,1.0,1.0,1.25,1.65,1.65,1.75,,1.0,1.0,1.0,1.4,1.8,1.8,1.9,,1.0,1.0,1.0,1.6,2.0,2.0,2.1,,1.0,1.0,1.0,1.85,2.25,2.25,2.35,Daniel Vivian Moreno.png,,9d5h5wxf44qu4fw3jk2pgis16,Athletic Bilbao.png,Daniel Vivian Moreno.png,1,https://players.gameon.app/laliga/season/metadata/Daniel Vivian Moreno/Daniel Vivian Moreno_Common_0.json,https://players.gameon.app/laliga/season/metadata/Daniel Vivian Moreno/Daniel Vivian Moreno_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Daniel Vivian Moreno/Daniel Vivian Moreno_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Daniel Vivian Moreno/Daniel Vivian Moreno_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Daniel Vivian Moreno/Daniel Vivian Moreno_Legendary_0.json,https://players.gameon.app/laliga/season/images/Daniel Vivian Moreno/Daniel Vivian Moreno_Common_0.png,https://players.gameon.app/laliga/season/images/Daniel Vivian Moreno/Daniel Vivian Moreno_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Daniel Vivian Moreno/Daniel Vivian Moreno_Rare_0.png,https://players.gameon.app/laliga/season/images/Daniel Vivian Moreno/Daniel Vivian Moreno_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Daniel Vivian Moreno/Daniel Vivian Moreno_Legendary_0.png
Gorka Guruzeta Rodriguez,28,Spain,Centre-Forward,ATHLETIC CLUB,Offence,4,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.65,1.45,1.4,1.15,,1.0,1.0,1.0,1.75,1.55,1.5,1.25,,1.0,1.0,1.0,1.9,1.7,1.65,1.4,,1.0,1.0,1.0,2.1,1.9,1.85,1.6,,1.0,1.0,1.0,2.35,2.15,2.1,1.85,Gorka Guruzeta Rodriguez.png,,3tzvbdszdrj1tayik9igbve8l,Athletic Bilbao.png,Gorka Guruzeta Rodriguez.png,1,https://players.gameon.app/laliga/season/metadata/Gorka Guruzeta Rodriguez/Gorka Guruzeta Rodriguez_Common_0.json,https://players.gameon.app/laliga/season/metadata/Gorka Guruzeta Rodriguez/Gorka Guruzeta Rodriguez_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Gorka Guruzeta Rodriguez/Gorka Guruzeta Rodriguez_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Gorka Guruzeta Rodriguez/Gorka Guruzeta Rodriguez_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Gorka Guruzeta Rodriguez/Gorka Guruzeta Rodriguez_Legendary_0.json,https://players.gameon.app/laliga/season/images/Gorka Guruzeta Rodriguez/Gorka Guruzeta Rodriguez_Common_0.png,https://players.gameon.app/laliga/season/images/Gorka Guruzeta Rodriguez/Gorka Guruzeta Rodriguez_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Gorka Guruzeta Rodriguez/Gorka Guruzeta Rodriguez_Rare_0.png,https://players.gameon.app/laliga/season/images/Gorka Guruzeta Rodriguez/Gorka Guruzeta Rodriguez_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Gorka Guruzeta Rodriguez/Gorka Guruzeta Rodriguez_Legendary_0.png
Inaki Williams Arthuer,31,Spain,Right Winger,ATHLETIC CLUB,Offence,4,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.65,1.45,1.4,1.15,,1.0,1.0,1.0,1.75,1.55,1.5,1.25,,1.0,1.0,1.0,1.9,1.7,1.65,1.4,,1.0,1.0,1.0,2.1,1.9,1.85,1.6,,1.0,1.0,1.0,2.35,2.15,2.1,1.85,Inaki Williams Arthuer.png,,ddvvwqxpsqqboupi3gx1ijhed,Athletic Bilbao.png,Inaki Williams Arthuer.png,1,https://players.gameon.app/laliga/season/metadata/Inaki Williams Arthuer/Inaki Williams Arthuer_Common_0.json,https://players.gameon.app/laliga/season/metadata/Inaki Williams Arthuer/Inaki Williams Arthuer_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Inaki Williams Arthuer/Inaki Williams Arthuer_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Inaki Williams Arthuer/Inaki Williams Arthuer_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Inaki Williams Arthuer/Inaki Williams Arthuer_Legendary_0.json,https://players.gameon.app/laliga/season/images/Inaki Williams Arthuer/Inaki Williams Arthuer_Common_0.png,https://players.gameon.app/laliga/season/images/Inaki Williams Arthuer/Inaki Williams Arthuer_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Inaki Williams Arthuer/Inaki Williams Arthuer_Rare_0.png,https://players.gameon.app/laliga/season/images/Inaki Williams Arthuer/Inaki Williams Arthuer_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Inaki Williams Arthuer/Inaki Williams Arthuer_Legendary_0.png
